serie,modele,graine,R2_oos_%,IC_spearman,sharpe_net,DM_pvalue
placebo,gradient_boosting,3,-1.226765881592784,-0.0009015717059185994,-0.29775796593857384,0.9993793591177366
signal,moyenne_historique,4,0.06343149391321301,-0.004855534312877388,0.5539155494744685,0.3171127463160024
signal,ridge,4,1.2305399471866707,0.10477408810123601,1.2942690884160917,0.00030264930600820694
signal,gradient_boosting,4,0.14772536426115312,0.08731053641633897,1.1924142864081098,0.39231813450252195
signal,oracle,4,1.5324624379270957,0.11407810567738624,1.4466400893343243,2.5054682400327266e-05
placebo,moyenne_historique,4,-0.036217530686233346,-0.0023740479809817644,0.30652819007655835,0.646302379156441
placebo,ridge,4,-0.0349228328929474,-0.0006652168660923019,0.30652819007655835,0.641235254440571
placebo,gradient_boosting,4,-1.2448224705965183,0.0017320449375838093,-0.2927382541475804,0.9991600424224403
signal,moyenne_historique,5,0.11378398295434078,-0.0007874730367202265,0.5391905244906975,0.08163884331034543
signal,ridge,5,0.8861454151276149,0.06680005277836464,1.0818123507974267,0.0034350812294560162
signal,gradient_boosting,5,-0.09736969341782586,0.04758262489378902,0.47676478994060517,0.5786800163163943
signal,oracle,5,1.4852431224270934,0.09185865818294921,1.22121791094119,0.00016415261215507737
placebo,moyenne_historique,5,-0.02093913854785967,-0.0075020404782547324,-0.13427277937137985,0.6899084903585466
placebo,ridge,5,-0.08110032074846174,-0.005579211237439949,-0.12636655582855588,0.7967349358082052
placebo,gradient_boosting,5,-1.3262955468025028,-0.006761377949858474,-0.46628372185640066,0.9998576372837592
signal,moyenne_historique,6,-0.12051328136393202,-0.067149588519242,-0.9348580039821646,0.9993582190676407
signal,ridge,6,0.8415191106752484,0.09062627320635844,0.9428960114172141,0.005842672738684218
signal,gradient_boosting,6,0.32618391256149515,0.08007952409790521,0.960067569542933,0.2633140773148084
signal,oracle,6,1.7711836466928643,0.12135719486663048,1.377249562987122,5.971523842185356e-06
placebo,moyenne_historique,6,-0.04054508394002454,-0.016116345838293286,-0.1557459984054037,0.8914708996909424
placebo,ridge,6,-0.058801503852823345,-0.028947014550634954,-0.31393558541224986,0.9626709683336757
placebo,gradient_boosting,6,-1.3624418037351704,-0.004513184342090774,-0.09669540449208926,0.9997341700157111
